CÓDIGO;DISCIPLINA;TEORIA;PRÁTICA;INDIVIDUAL;CRÉDITOS;RECOMENDAÇÕES;CATEGORIA
MCZA025-13;Segurança em Redes;2;2;4;4;Redes de Computadores;OL
ESZI010-17;Simulação de Sistemas de Comunicação;2;2;4;4;"Princípios de Comunicação; Comunicação Digital";OL
ESTI005-17;Sinais Aleatórios;4;0;4;4;"Introdução à Probabilidade e à Estatística; Transformadas em Sinais e Sistemas Lineares";OL
ESTA003-17;Sistemas de Controle I;3;2;4;5;Transformadas em Sinais e Sistemas Lineares;OL
ESZI019-17;Sistemas de Micro-ondas;3;1;4;4;"Ondas Eletromagnéticas Aplicadas; Eletrônica Analógica Aplicada";OL
MCTA025-13;Sistemas Distribuídos;3;1;4;4;Redes de Computadores;OL
ESZI014-17;Sistemas Inteligentes;3;1;4;4;"Programação Estruturada; Álgebra Linear";OL
ESTI013-17;Sistemas Microprocessados;2;2;4;4;"Eletrônica Digital; Dispositivos Eletrônicos";OL
MCTA026-13;Sistemas Operacionais;3;2;4;5;Arquitetura de Computadores;OL
ESZI018-17;Tecnologia de Redes Ópticas;4;0;4;4;Comunicações Ópticas;OL
ESZI040-17;Telefonia Fixa e VOIP;3;1;4;4;"Redes de Computadores; Princípios de Comunicação";OL
ESTI008-17;Teoria da Informação e Códigos;4;0;4;4;Comunicação Digital;OL
ESTI020-17;Teoria de Filas e Análise de Desempenho;3;1;4;4;"Redes de Computadores; Sinais Aleatórios";OL
ESTI902-17;Trabalho de Graduação I em Engenharia de Informação;0;2;4;2;REQUISITO: CPK ? 0,7 na Engenharia de Informação e demais requisitos de acordo com a Resolução de TG vigente;OL
ESTI903-17;Trabalho de Graduação II em Engenharia de Informação;0;2;4;2;REQUISITO: Trabalho de Graduação I em Engenharia de Informação e demais requisitos de acordo com a Resolução de TG vigente;OL
ESTI904-17;Trabalho de Graduação III em Engenharia de Informação;0;2;4;2;REQUISITO: Trabalho de Graduação II em Engenharia de Informação e demais requisitos de acordo com a Resolução de TG vigente;OL
BCL0307-15;Transformações Químicas;3;2;6;5;Estrutura da Matéria;OL
ESTI003-17;Transformadas em Sinais e Sistemas Lineares;4;0;4;4;Funções de Várias Variáveis;OL
ESZI028-17;TV Digital;3;1;4;4;Comunicação Digital;OL
